"species","Sample","treat","metric","herb","omni","pred","total","pred_herb","sample_g","plant_g","vaccum","vac_sec","vac_min","flower","diameter","height","complexity","herb_mg"
"ERPA","ERPA8","C","mg",10.7634535103761,2.10769039142344,7.60668648354359,20.4778303853431,0.590987603089427,9.854,982.81,"2:12",132,2.2,"Y",1.63,0.99,90,0.0130962687618151
"ISME","ISME1","T","abun",12,0,3,15,0.25,6.356,876.96,"3:44",224,3.73333333333333,"N",0.64,0.93,17,0.0136836343732895
"ISME","ISME1","T","mg",13.9812460964778,0,2.07823742177647,16.0594835182542,0.148644649227656,6.356,876.96,"3:44",224,3.73333333333333,"N",0.64,0.93,17,0.0159428549722653
"ISME","ISME10","C","abun",15,6,0,21,0,4.765,779.52,"2:30",150,2.5,"N",0.48,0.93,19,0.0269396551724138
"ISME","ISME10","C","mg",10.3520325649134,3.62519454525017,0,13.9772271101636,0,4.765,779.52,"2:30",150,2.5,"N",0.48,0.93,19,0.0179305561244914
"ISME","ISME11","C","abun",31,0,2,33,0.0645161290322581,6.096,974.4,"3:20",200,3.33333333333333,"N",0.54,1.04,10,0.0318144499178982
"ISME","ISME11","C","mg",25.245622234973,0,1.44567593773091,26.6912981727039,0.0572644209073286,6.096,974.4,"3:20",200,3.33333333333333,"N",0.54,1.04,10,0.0259088898142169
"ISME","ISME12","C","abun",30,2,3,35,0.09375,13.111,1364.16,"3:00",180,3,"N",0.99,1.18,24,0.0234576589256392
"ISME","ISME12","C","mg",18.6614288069491,0.620076091662369,1.12594227330124,20.4074471719127,0.0583949374917475,13.111,1364.16,"3:00",180,3,"N",0.99,1.18,24,0.0141343426713959
"ISME","ISME13","C","abun",25,0,0,25,0,7.2,779.52,"2:55",175,2.91666666666667,"Y",0.59,1.19,11,0.0320710180623974
"ISME","ISME13","C","mg",23.2363388359087,0,0,23.2363388359087,0,7.2,779.52,"2:55",175,2.91666666666667,"Y",0.59,1.19,11,0.0298085217004165
"ISME","ISME2","T","abun",11,2,5,18,0.384615384615385,NA,779.52,"3:40",220,3.66666666666667,"N",0.84,0.84,17,0.0166769293924466
"ISME","ISME2","T","mg",5.77862634119189,0.0868525518476211,6.88232956443167,12.7478084574712,1.17336191808632,NA,779.52,"3:40",220,3.66666666666667,"N",0.84,0.84,17,0.00752447518093123
"ISME","ISME3","T","abun",8,0,2,10,0.25,4.863,876.96,"2:08",128,2.13333333333333,"N",0.49,0.61,14,0.00912242291552636
"ISME","ISME3","T","mg",18.9326172367419,0,5.74356407319827,24.6761813099402,0.303368731400323,4.863,876.96,"2:08",128,2.13333333333333,"N",0.49,0.61,14,0.021588917666418
"ISME","ISME4","T","abun",16,0,3,19,0.1875,10.228,1071.84,"3:19",199,3.31666666666667,"N",0.58,1.04,15,0.0149276011344977
"ISME","ISME4","T","mg",10.5191772472827,0,4.08338723309986,14.6025644803826,0.388185039296174,10.228,1071.84,"3:19",199,3.31666666666667,"N",0.58,1.04,15,0.00981413013815748
"ISME","ISME5","T","abun",13,0,3,16,0.230769230769231,5.367,876.96,"3:37",217,3.61666666666667,"N",0.71,1.11,14,0.0148239372377303
"ISME","ISME5","T","mg",8.77165330424141,0,8.01518746538521,16.7868407696266,0.913760175805121,5.367,876.96,"3:37",217,3.61666666666667,"N",0.71,1.11,14,0.0100023413887081
"ISME","ISME6","T","abun",32,0,0,32,0,8.878,584.64,"3:18",198,3.3,"N",0.66,0.91,14,0.0547345374931582
"ISME","ISME6","T","mg",14.0950079082096,0,0,14.0950079082096,0,8.878,584.64,"3:18",198,3.3,"N",0.66,0.91,14,0.0241088668380707
"ISME","ISME7","T","abun",13,0,2,15,0.153846153846154,9.677,1169.28,"4:29",269,4.48333333333333,"N",0.64,0.82,21,0.0111179529282978
"ISME","ISME7","T","mg",10.1780515182692,0,2.09885270728142,12.2769042255506,0.206213606161658,9.677,1169.28,"4:29",269,4.48333333333333,"N",0.64,0.82,21,0.00870454597553124
"ISME","ISME8","T","abun",17,6,5,28,0.217391304347826,7.682,682.08,"4:10",250,4.16666666666667,"N",0.77,0.8,11,0.0337203847056064
"ISME","ISME8","T","mg",9.19417299642784,3.82284113258086,3.52037458503107,16.5373887140398,0.270444093410473,7.682,682.08,"4:10",250,4.16666666666667,"N",0.77,0.8,11,0.0190842923542821
"ISME","ISME9","C","abun",19,4,2,25,0.0869565217391304,12.921,1071.84,"3:05",185,3.08333333333333,"N",0.6,0.83,25,0.0214584266308404
"ISME","ISME9","C","mg",7.94359863913058,1.49333924890792,1.02540484320586,10.4623427312444,0.108658640691657,12.921,1071.84,"3:05",185,3.08333333333333,"N",0.6,0.83,25,0.00880442779522923
"LUAL","LUAL1","T","abun",25,6,4,35,0.129032258064516,NA,252.76,"3:51",231,3.85,"N",0.51,1.21,4,0.122645988289286
"LUAL","LUAL1","T","mg",11.0301162751928,5.25644444990844,2.81417535706338,19.1007360821647,0.172791260510029,NA,252.76,"3:51",231,3.85,"N",0.51,1.21,4,0.0644348818052749
"LUAL","LUAL10","T","abun",7,0,2,9,0.285714285714286,15.044,505.52,"3:03",183,3.05,"N",0.84,0.6,7,0.0138471277100807
"LUAL","LUAL10","T","mg",10.3733213805458,0,0.317853690889069,10.6911750714348,0.0306414579505051,15.044,505.52,"3:03",183,3.05,"N",0.84,0.6,7,0.0205201008477326
"LUAL","LUAL11","T","abun",30,4,7,41,0.205882352941176,13.517,505.52,"3:09",189,3.15,"N",0.98,0.53,5,0.0672574774489634
"LUAL","LUAL11","T","mg",29.717365004501,0.878988106392396,12.0901012589089,42.6864543698022,0.395148441877681,13.517,505.52,"3:09",189,3.15,"N",0.98,0.53,5,0.0605245155698951
"LUAL","LUAL12","T","abun",41,3,7,51,0.159090909090909,5.041,758.28,"2:31",151,2.51666666666667,"N",0.81,0.7,11,0.0580260589755763
"LUAL","LUAL12","T","mg",22.812567604651,0.659241079794297,9.09269875161979,32.5645074360651,0.387388073661553,5.041,758.28,"2:31",151,2.51666666666667,"N",0.81,0.7,11,0.0309540126133425
"LUAL","LUAL13","T","abun",35,0,1,36,0.0285714285714286,5.249,631.9,"2:18",138,2.3,"N",0.8,0.71,10,0.0553885108403228
